stopdate,stoptime,streetnbr,streetdir,street,Min,sex,race,ethnic,Year of birth,enfaction,rpmainid
 01/16/2018,1459,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,H,1966,N,3131
 01/16/2018,1438,,,DIAGONAL HWY/INDEPENDENCE RD,10,M,W,N,1954,Y,3132
 01/17/2018,950,1100,,WALNUT ST,6,F,W,N,1956,N,3133
 01/17/2018,1146,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1980,Y,3134
 01/17/2018,1114,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1995,N,3135
 01/17/2018,1001,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,H,1993,N,3136
 01/17/2018,820,1000,,LEHIGH ST/TABLE MESA DR,10,F,W,N,1978,Y,3137
 01/17/2018,1125,1100 BLK,,S BROADWAY,5,M,B,N,1992,Y,3138
 01/17/2018,1420,200 BLK,,FOOTHILLS PKY,5,F,A,N,1979,N,3139
 01/17/2018,1439,200 BLK,,FOOTHILLS PKY,15,F,W,N,1985,Y,3140
 01/17/2018,1528,200 BLK,,FOOTHILLS PKY,15,F,W,N,1994,N,3141
 01/17/2018,1300,3399,,30TH ST/IRIS AVE,10,F,W,N,1995,N,3142
 01/17/2018,1321,700,,28TH ST/BASELINE RD,10,M,W,N,1970,N,3143
 01/17/2018,1333,1299,,28TH FRONTAGE RD/PENNSYLVANIA AVE,10,F,W,N,1984,N,3144
 01/17/2018,1515,,,FOOTHILLS PKWY/FOOTHILLS SB ON RP @ PEARL,10,M,W,H,1985,N,3145
 01/17/2018,1306,1198,,28TH ST/COLORADO AVE,10,M,B,N,1971,N,3146
 01/17/2018,1545,1500,,FOOTHILLS PKWY,10,F,W,N,1992,Y,3147
 01/17/2018,2130,1500,,16TH ST/ARAPAHOE AVE,10,M,W,N,1985,Y,3148
 01/16/2018,2045,1599,,FOLSOM ST/ARAPAHOE AVE,10,F,W,N,1993,Y,3149
 01/17/2018,1715,15TH,,WALNUT,10,M,W,N,1978,Y,3150
 01/18/2018,100,1700,,BROADWAY,7,M,W,N,1986,N,3151
 01/17/2018,2235,3199,,30TH ST/GLENWOOD DR,5,M,A,N,1998,Y,3158
 01/18/2018,836,2699,,BROADWAY/ALPINE AVE,10,M,W,H,1988,N,3159
 01/18/2018,822,2599,,BROADWAY/NORTH ST,10,M,W,N,1948,Y,3160
 01/18/2018,809,2599,,BROADWAY/NORTH ST,10,F,W,N,1988,Y,3161
 01/18/2018,1105,,,HWY 36 WB ON RP @ T MESA/TABLE MESA DR,5,M,W,N,1940,Y,3162
 01/18/2018,906,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1992,N,3163
 01/18/2018,1150,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,H,1997,Y,3164
 01/18/2018,1130,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1994,Y,3165
 01/18/2018,1055,1699,,ITHACA DR/ILIFF ST,10,M,W,N,2000,Y,3166
 01/18/2018,1540,,,30TH ST/ARAPAHOE AVE,10,M,W,H,1959,Y,3167
 01/18/2018,1411,,,49TH ST/PEARL PKWY,10,M,W,N,1965,Y,3168
 01/18/2018,1130,1300,,FOOTHILLS PKWY,10,M,W,N,1980,N,3169
 01/18/2018,2137,,,28TH ST/CANYON BLVD,5,M,W,N,1994,N,3170
